web-scraper-order,web-scraper-start-url,category,category-href,subcategory,subcategory-href,sub-sub-category,sub-sub-category-href,pagination,product-link,product-link-href,name,wholesale-sku,brand,packagesize,age group,color,width,height,construction,image-src,wheelbase,length,gender,easternprice,Diameter,Angle,Durometer
"1752767490-1","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","TEN/DST ASSEMBLY 5.25 RAW/BLK W/52mm DISSENT","https://www.easternskatesupply.com/ten-dst-assembly-5-25-raw-blk-w-52mm-dissent.html","TEN/DST ASSEMBLY 5.25 RAW/BLK W/52mm DISSENT","1TTEN00D520K52D","Tensor","1 SINGLE PIECE","All Ages","Raw","5.25""","STANDARD/MID","Tensor Alloy","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1599570914350_1TTEN00D520K52D.png","","","ALL","$19.50","8MM","",""
"1752767502-2","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","TEN/DST ASSEMBLY 5.25 RAW/BLK W/52mm CLEAN","https://www.easternskatesupply.com/ten-dst-assembly-5-25-raw-blk-w-52mm-clean.html","TEN/DST ASSEMBLY 5.25 RAW/BLK W/52mm CLEAN","1TTEN00D520K2CL","Tensor","1 SINGLE PIECE","All Ages","Raw","5.25""","STANDARD/MID","Tensor Alloy","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1644508876346_1TTEN00D520K2CL.png","","","ALL","$19.50","8MM","",""
"1752767513-3","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","TEN/BLI ASSEMBLY 5.25 RAW/WHT W/52mm OG STRETCH","https://www.easternskatesupply.com/ten-bli-assembly-5-25-raw-wht-w-52mm-og-stretch.html","TEN/BLI ASSEMBLY 5.25 RAW/WHT W/52mm OG STRETCH","1TTEN00B520W52O","Tensor","1 SINGLE PIECE","All Ages","Raw","5.25""","STANDARD/MID","Tensor Alloy","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1599570914350_1TTEN00B520W52O.png","","","ALL","$19.50","8MM","",""
"1752767524-4","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","TEN/ALM ASSEMBLY 5.25 RAW/RED W/52mm REPEAT","https://www.easternskatesupply.com/ten-alm-assembly-5-25-raw-red-w-52mm-repeat.html","TEN/ALM ASSEMBLY 5.25 RAW/RED W/52mm REPEAT","1TTEN00A520R2RP","Tensor","1 SINGLE PIECE","All Ages","Raw","5.25""","STANDARD/MID","Tensor Alloy","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1644508876346_1TTEN00A520R2RP.png","","","ALL","$19.50","8MM","",""
"1752767536-5","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ML ASSEMBLY 7.63 BLK/RAW W/53mm 90a A-CUT WHT 1pc","https://www.easternskatesupply.com/ml-assembly-7-62-blk-raw-w-53mm-90a-a-cut-wht.html","ML ASSEMBLY 7.63 BLK/RAW W/53mm 90a A-CUT WHT 1pc","1TMIN076KH539AW","Mini Logo","1 SINGLE PIECE","All Ages","BLACK","7.63""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1558716913143_1TMIN076KH539AW.png","","","ALL","$19.75","53MM","",""
"1752767548-6","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ML ASSEMBLY 7.63 RAW/RAW W/53mm 90a A-CUT WHT 1pc","https://www.easternskatesupply.com/ml-assembly-7-62-raw-raw-w-53mm-90a-a-cut-wht.html","ML ASSEMBLY 7.63 RAW/RAW W/53mm 90a A-CUT WHT 1pc","1TMIN07600539AW","Mini Logo","1 SINGLE PIECE","All Ages","Raw","7.63""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1558716913143_1TMIN07600539AW.png","","","ALL","$19.75","53MM","",""
"1752767559-7","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ML ASSEMBLY 7.13 BLK/RAW W/53mm 90a A-CUT WHT 1pc","https://www.easternskatesupply.com/ml-assembly-7-13-blk-raw-w-53mm-90a-a-cut-wht.html","ML ASSEMBLY 7.13 BLK/RAW W/53mm 90a A-CUT WHT 1pc","1TMIN071KH539AW","Mini Logo","1 SINGLE PIECE","All Ages","BLACK","7.13""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1558716913143_1TMIN071KH539AW.png","","","ALL","$19.75","53MM","",""
"1752767570-8","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","ML ASSEMBLY 7.13 RAW/RAW W/53mm 90a A-CUT WHT 1pc","https://www.easternskatesupply.com/ml-assembly-7-13-raw-raw-w-53mm-90a-a-cut-wht.html","ML ASSEMBLY 7.13 RAW/RAW W/53mm 90a A-CUT WHT 1pc","1TMIN07100539AW","Mini Logo","1 SINGLE PIECE","All Ages","Raw","7.13""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1558716913143_1TMIN07100539AW.png","","","ALL","$19.75","53MM","",""
"1752767582-9","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","INS COMPONENT PACK 5.25 BLK/BLK w/52mm WHITE","https://www.easternskatesupply.com/industrial-comp-pk-5-25-blk-blk-w-52mm-white.html","INS COMPONENT PACK 5.25 BLK/BLK w/52mm WHITE","1TINS0052KK52WW","Industrial","1 QTY KIT","All Ages","WHITE","5.25""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1559562013254_1TINS0052KK52WW.png","","","ALL","$34.50","52MM","",""
"1752767594-10","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Component Packs","https://www.easternskatesupply.com/skate/components/truck-component-packs.html","","INS COMPONENT PACK 5.25 RAW/RAW w/52mm BK/WT SWIRL","https://www.easternskatesupply.com/industrial-comp-pk-5-25-raw-w-blk-wht-swirl-52mm.html","INS COMPONENT PACK 5.25 RAW/RAW w/52mm BK/WT SWIRL","1TINS00520052KW","Industrial","1 QTY KIT","All Ages","Raw","5.25""","STANDARD/MID","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1549999512959_1TINS00520052KW.png","","","ALL","$34.50","52MM","",""
